drawNumber,drawDate,n1,n2,n3,n4,n5,n6,n7,b1,b2
673,2026-04-17,6,9,10,12,16,24,32,17,19
672,2026-04-10,7,11,15,16,17,24,33,6,9
671,2026-04-03,07,13,16,22,28,33,36,02,25
670,2026-03-27,03,04,09,10,18,21,37,15,23
669,2026-03-20,03,05,06,07,09,13,16,11,23
668,2026-03-13,1,8,11,14,18,22,29,19,35
667,2026-03-06,9,13,20,22,28,29,33,21,23
666,2026-02-27,2,17,18,22,23,25,33,16,34
665,2026-02-20,6,8,14,19,22,25,35,12,17
664,2026-02-13,3,6,8,14,21,22,31,17,37
663,2026-02-06,4,6,10,11,13,17,23,25,32
662,2026-01-30,4,14,15,21,22,24,37,5,20
661,2026-01-23,7,12,17,22,31,34,35,20,32
660,2026-01-16,4,6,12,13,16,17,31,14,20
659,2026-01-09,2,8,9,14,27,34,36,5,18
658,2025-12-26,10,12,16,18,19,22,37,11,20
657,2025-12-19,9,11,16,23,27,29,32,6,24
656,2025-12-12,1,4,6,20,30,34,37,14,25
655,2025-12-05,4,5,12,13,24,26,33,3,14
654,2025-11-28,3,12,25,29,30,32,33,28,31
653,2025-11-21,6,7,12,25,26,30,33,13,15
652,2025-11-14,1,16,21,26,27,30,35,6,37
651,2025-11-07,2,13,19,20,24,26,35,29,36
650,2025-10-31,1,8,10,14,25,33,35,12,21
649,2025-10-24,12,22,23,26,33,35,37,2,21
648,2025-10-17,3,17,19,24,28,29,35,7,13
647,2025-10-10,4,5,9,13,17,22,28,18,31
646,2025-10-03,5,12,13,15,18,35,37,11,29
645,2025-09-26,7,10,16,20,26,32,35,24,33
644,2025-09-19,1,11,12,14,20,26,29,2,5
643,2025-09-12,1,5,15,16,18,27,34,19,22
642,2025-09-05,1,7,22,23,33,34,35,2,24
641,2025-08-29,1,3,7,23,24,33,36,17,30
640,2025-08-22,2,7,9,12,13,14,29,15,30
639,2025-08-15,5,9,12,15,30,31,34,13,29
638,2025-08-08,1,6,18,19,35,36,37,11,24
637,2025-08-01,1,4,7,8,9,20,21,11,30
636,2025-07-25,10,14,17,20,26,27,29,3,11
635,2025-07-18,10,12,20,29,30,31,34,4,15
634,2025-07-11,2,12,18,29,32,36,37,5,21
633,2025-07-04,2,5,10,17,21,31,36,20,32
632,2025-06-27,5,7,10,11,29,31,37,13,25
631,2025-06-20,2,3,6,17,33,35,36,25,37
630,2025-06-13,4,6,8,23,28,29,34,10,19
629,2025-06-06,2,7,9,21,23,24,30,22,29
628,2025-05-30,1,8,9,11,18,27,35,16,34
627,2025-05-23,9,15,21,30,33,34,37,10,35
626,2025-05-16,1,3,7,12,17,32,34,14,30
625,2025-05-09,3,10,12,18,19,24,32,4,15
624,2025-05-02,2,14,15,26,27,34,36,9,24
623,2025-04-25,9,12,22,26,28,31,37,7,30
