drawNumber,drawDate,n1,n2,n3,n4,n5,b1
1382,2026-04-14,12,20,24,30,31,25
1381,2026-04-07,2,3,4,20,28,12
1380,2026-03-31,1,10,12,19,21,14
1379,2026-03-24,12,15,18,25,28,06
1378,2026-03-17,04,15,18,30,31,23
1377,2026-03-10,3,13,19,29,31,30
1376,2026-03-03,1,9,11,22,29,3
1375,2026-02-24,1,3,11,16,20,4
1374,2026-02-17,10,16,21,29,30,20
1373,2026-02-10,7,8,21,28,29,26
1372,2026-02-03,4,14,21,24,31,5
1371,2026-01-27,3,10,12,20,31,11
1370,2026-01-20,1,5,12,24,31,21
1369,2026-01-13,1,2,3,5,11,26
1368,2026-01-06,7,8,20,25,26,24
1367,2025-12-30,17,21,27,28,29,2
1366,2025-12-23,3,19,20,21,28,13
1365,2025-12-16,3,10,20,25,27,24
1364,2025-12-09,1,3,10,27,31,19
1363,2025-12-02,6,12,16,19,31,25
1362,2025-11-25,6,12,13,17,26,18
1361,2025-11-18,20,25,26,27,30,13
1360,2025-11-11,4,18,20,24,29,31
1359,2025-11-04,1,3,15,16,20,13
1358,2025-10-28,1,6,22,27,29,28
1357,2025-10-21,7,9,21,25,28,15
1356,2025-10-14,6,7,20,22,24,5
1355,2025-10-07,3,6,10,23,27,15
1354,2025-09-30,11,13,15,16,26,2
1353,2025-09-23,6,11,13,14,18,5
1352,2025-09-16,5,8,10,11,29,27
1351,2025-09-09,4,9,10,19,29,6
1350,2025-09-02,2,3,11,22,28,15
1349,2025-08-26,2,3,15,28,29,20
1348,2025-08-19,4,16,20,26,28,29
1347,2025-08-12,4,16,18,27,31,24
1346,2025-08-05,5,16,20,23,30,2
1345,2025-07-29,3,11,14,30,31,28
1344,2025-07-22,2,5,21,24,28,12
1343,2025-07-15,4,13,22,29,30,9
1342,2025-07-08,1,9,13,19,23,11
1341,2025-07-01,5,12,16,24,28,31
1340,2025-06-24,8,19,22,24,27,25
1339,2025-06-17,6,14,21,23,31,22
1338,2025-06-10,13,18,21,28,31,11
1337,2025-06-03,3,11,17,20,22,14
1336,2025-05-27,3,20,21,24,25,26
1335,2025-05-20,12,17,18,22,31,30
1334,2025-05-13,3,8,21,27,29,16
1333,2025-05-06,7,11,18,25,26,6
1332,2025-04-29,12,16,17,20,25,28
1331,2025-04-22,9,11,13,27,28,16
1330,2025-04-15,1,13,24,25,31,11
1329,2025-04-08,5,6,8,21,30,23
1328,2025-04-01,1,12,15,27,31,18
1327,2025-03-25,4,9,26,27,29,16
1326,2025-03-18,4,9,15,19,26,3
1325,2025-03-11,10,15,22,23,25,13
1324,2025-03-04,5,6,14,20,27,1
1323,2025-02-25,4,9,18,24,25,15
1322,2025-02-18,5,16,18,22,28,6
1321,2025-02-11,1,5,6,24,25,11
1320,2025-02-04,2,3,7,25,28,4
1319,2025-01-28,4,6,16,26,29,31
1318,2025-01-21,5,7,15,24,29,12
1317,2025-01-14,7,22,26,30,31,11
1316,2025-01-07,4,7,10,11,17,23
1315,2024-12-24,6,15,22,29,30,13
1314,2024-12-17,18,20,21,23,30,25
1313,2024-12-10,2,5,9,22,31,15
1312,2024-12-03,10,12,13,21,31,23
1311,2024-11-26,3,11,27,28,31,26
1310,2024-11-19,13,14,19,24,28,3
1309,2024-11-12,6,12,25,27,29,22
1308,2024-11-05,3,8,12,16,22,29
1307,2024-10-29,11,13,16,18,20,19
1306,2024-10-22,5,7,27,28,29,16
1305,2024-10-15,7,12,14,29,30,4
1304,2024-10-08,3,4,6,20,31,2
1303,2024-10-01,7,14,17,30,31,22
1302,2024-09-24,6,11,12,17,24,4
1301,2024-09-17,13,15,25,26,27,17
1300,2024-09-10,1,4,16,27,31,15
1299,2024-09-03,3,4,9,11,18,7
1298,2024-08-27,2,4,12,13,17,29
1297,2024-08-20,1,12,17,21,28,31
1296,2024-08-13,9,13,18,19,21,6
1295,2024-08-06,4,11,12,21,26,28
1294,2024-07-30,8,21,22,27,29,1
1293,2024-07-23,6,8,10,20,28,15
1292,2024-07-16,6,11,21,23,25,27
1291,2024-07-09,1,2,8,11,29,19
1290,2024-07-02,21,26,27,29,31,7
1289,2024-06-25,17,18,21,27,30,3
1288,2024-06-18,4,12,14,16,22,8
1287,2024-06-11,10,12,23,26,30,22
1286,2024-06-04,9,10,12,13,30,25
1285,2024-05-28,4,5,18,23,25,11
1284,2024-05-21,4,11,23,28,31,22
1283,2024-05-14,1,11,25,29,31,3
1282,2024-05-07,2,22,23,30,31,29
1281,2024-04-30,4,10,15,18,24,5
1280,2024-04-23,7,9,14,17,20,13
1279,2024-04-16,1,14,18,22,28,26
1278,2024-04-09,3,10,19,21,31,29
1277,2024-04-02,2,13,18,22,28,30
1276,2024-03-26,4,9,13,16,31,27
1275,2024-03-19,6,11,12,13,14,5
1274,2024-03-12,1,7,8,10,14,18
1273,2024-03-05,7,18,20,22,23,5
1272,2024-02-27,3,7,14,21,30,13
1271,2024-02-20,16,17,19,22,23,24
1270,2024-02-13,2,7,16,19,26,20
1269,2024-02-06,5,10,16,20,21,14
1268,2024-01-30,9,11,14,22,29,31
1267,2024-01-23,13,15,18,20,29,17
1266,2024-01-16,1,16,22,23,31,18
1265,2024-01-09,8,9,11,15,31,17
1264,2023-12-26,2,7,10,22,27,24
1263,2023-12-19,1,2,15,25,28,5
1262,2023-12-12,11,16,18,19,29,31
1261,2023-12-05,19,21,25,29,31,7
1260,2023-11-28,2,4,14,21,29,12
1259,2023-11-21,1,13,17,18,22,25
1258,2023-11-14,3,6,12,19,30,13
1257,2023-11-07,8,13,19,22,24,21
1256,2023-10-31,7,8,14,19,21,23
1255,2023-10-24,2,3,4,17,23,12
1254,2023-10-17,1,5,12,17,28,14
1253,2023-10-10,1,11,17,19,25,28
